MD (m),Pressure (bar), Temperature (degC)
0,80,40
15.88,80.37496946690199,40.00734930929926
31.76,80.75760205568301,40.01481907948386
47.64,81.14832363928274,40.0224092733132
63.52,81.54760746799762,40.0301198535582
79.40000000000001,81.95598177654415,40.03795078300129
95.28,82.37403887660277,40.04590202443638
111.16,82.80244603561512,40.05397354066891
127.04,83.24195848851397,40.06216529451583
142.92,83.6934349715371,40.07047724880555
158.8,84.15785619913471,40.07890936637798
174.68,84.63634670621938,40.08746161008453
190.56,85.13020036854094,40.0961339427881
206.44,85.64090938151227,40.10492632736306
222.32,86.17019449019685,40.11383872669525
238.2,86.72002807009994,40.12287110368199
254.08,87.29262590887991,40.13202342123209
269.96,87.89035398262884,40.1412956422658
285.84,88.51547155500923,40.15068772971483
301.72,89.16969155868487,40.16019964652239
317.6,89.85375449689322,40.16983135564309
333.48,90.56747155904824,40.17958282004304
349.36,91.31002102148321,40.18945400269978
365.24,92.07987117877016,40.19944486660228
381.1199999999999,92.87499508432822,40.20955537475098
396.9999999999999,93.69317211479699,40.21978549015775
412.8799999999999,94.53224220418237,40.23013517584589
428.7599999999999,95.39024636311177,40.24060439485012
444.6399999999999,96.26546941021695,40.25119311021662
460.5199999999999,97.15642946730092,40.26190128500296
476.3999999999999,98.06184827511177,40.27272888227814
492.2799999999999,98.98061927858713,40.28367586512261
508.1599999999999,99.91177944275286,40.29474219662818
524.04,100.8544858726743,40.3059278398981
539.92,101.8079967235158,40.31723275804704
555.8,102.7716556024901,40.32865691420104
571.6799999999999,103.7448787583733,40.34020027149757
587.5599999999999,104.7271445036857,40.35186279308547
603.4399999999999,105.7179844388786,40.36364444212499
619.3199999999999,106.7169761402357,40.37554518178776
635.1999999999999,107.723737041963,40.3875649752568
651.0799999999999,108.7379192957105,40.39970378572652
666.9599999999999,109.7592054323883,40.4119615764027
682.8399999999999,110.7873046844917,40.42433831050248
698.7199999999999,111.8219498540365,40.43683395125439
714.5999999999999,112.8628946328958,40.44944846189834
730.4799999999999,113.9099112998062,40.46218180568557
746.3599999999999,114.9627887323647,40.47503394587872
762.2399999999999,116.0213306836318,40.48800484575175
778.1199999999999,117.0853542820291,40.50109446858999
793.9999999999999,118.1546887205258,40.51430277769013
809.8799999999999,119.2291741069877,40.5276297363602
825.7599999999999,120.3086604523473,40.54107530791956
841.6399999999999,121.3930067770854,40.55463945569893
857.5199999999999,122.4820803197004,40.56832214304035
873.3999999999999,123.5757558334051,40.58212333329722
889.2799999999999,124.6739149594175,40.59604298983422
905.1599999999999,125.7764456669702,40.61008107602741
921.0399999999998,126.8832417516154,40.62423755526414
936.9199999999998,127.9942023846231,40.63851239094308
952.7999999999998,129.1092317072826,40.65290554647424
968.6799999999998,130.22823846478,40.66741698527891
984.5599999999998,131.3511356750419,40.6820466707897
1000.44,132.4778403285507,40.69679456645054
1016.32,133.6082731156634,40.71166063571663
1032.2,134.7423581784013,40.7266448420545
1048.08,135.8800228840698,40.74174714894196
1063.96,137.0211976183884,40.75696751986811
1079.84,138.1658155960964,40.77230591833334
1095.72,139.3138126872428,40.78776230784933
1111.6,140.4651272575812,40.80333665193901
1127.48,141.6197000216721,40.81902891413663
1143.360000000001,142.7774739074573,40.83483905798769
1159.240000000001,143.9383939311985,40.85076704704896
1175.120000000001,145.102407081837,40.86681284488849
1191.000000000001,146.2694622138555,40.88297641508557
1206.880000000001,147.4395099479056,40.89925772123077
1222.760000000001,148.6125025784933,40.9156567269259
1238.640000000001,149.7883939881015,40.93217339578405
1254.520000000001,150.9671395671938,40.94880769142951
1270.400000000001,152.1486961395998,40.96555957749788
1286.280000000002,153.3330218928305,40.98242901763594
1302.160000000002,154.5200763129178,40.99941597550175
1318.040000000002,155.7098201234126,41.0165204147646
1333.920000000002,156.9022152282093,41.03374229910499
1349.800000000002,158.0972246578964,41.05108159221465
1365.680000000002,159.2948125193625,41.06853825779657
1381.560000000002,160.4949439484078,41.08611225956493
1397.440000000002,161.6975850651399,41.10380356124513
1413.320000000002,162.9027029319458,41.12161212657379
1429.200000000003,164.1102655138558,41.13953791929875
1445.080000000003,165.3202416411206,41.15758090317903
1460.960000000003,166.5326009738724,41.17574104198489
1476.840000000003,167.7473139686832,41.19401829949776
1492.720000000003,168.9643518469277,41.21241263951029
1508.600000000003,170.1836865648121,41.2309240258263
1524.480000000003,171.4052907849642,41.24955242226083
1540.360000000003,172.6291378494797,41.26829779264006
1556.240000000003,173.8552017543335,41.28716010080142
1572.120000000004,175.083457125068,41.30613931059346
1588.000000000004,176.3138791936799,41.32523538587593
